"country","support_id","weighting","term","estimate","se","df","pv_count","brr_replicate_count","row_support_hash","target_hash","weight_stage","analysis_role","weight_scaling_rule","weighting_regime","scaling_method","l1_conditional_weight_scaling_method","replicate_allocation","inference_scope"
"USA","EST-01","level1_final_weight_only","b_Intercept",500.235087937319,1.28609729140878,53.979529130156,10,80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target"
"USA","EST-01","level1_final_weight_only","b_ESCS_within",25.11983259351,1.96286158477049,368.613276972137,10,80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target"
"USA","EST-01","level1_final_weight_only","b_ESCS_between",70.6348617090094,2.89864647172436,67.9143766120229,10,80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target"
"KOR","EST-01","level1_final_weight_only","b_Intercept",495.675793934499,1.71385591489552,21.5391808905738,10,80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target"
"KOR","EST-01","level1_final_weight_only","b_ESCS_within",27.8853755764867,2.66028854163081,211.710447390407,10,80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target"
"KOR","EST-01","level1_final_weight_only","b_ESCS_between",94.2165596082411,3.15035015501511,27.7445075314974,10,80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target"
"USA","EST-01","declared_staged_sns01","b_Intercept",499.527131741271,2.13083911532806,73.3777182193398,10,80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a4b01af2683abebcbba1e785fa747ed82ec72f11729cf1dda99ee812f17b9c17","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_full_sample_stage_decomposition","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se"
"USA","EST-01","declared_staged_sns01","b_ESCS_within",25.11983259351,1.96477678213625,370.05403283791,10,80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a4b01af2683abebcbba1e785fa747ed82ec72f11729cf1dda99ee812f17b9c17","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_full_sample_stage_decomposition","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se"
"USA","EST-01","declared_staged_sns01","b_ESCS_between",71.3364803630882,3.39436592515938,65.7500600461199,10,80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a4b01af2683abebcbba1e785fa747ed82ec72f11729cf1dda99ee812f17b9c17","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_full_sample_stage_decomposition","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se"
"KOR","EST-01","declared_staged_sns01","b_Intercept",495.128578185285,2.29858010590109,73.9955214222586,10,80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","1021cbf6db5ab3fdc089141e261914805d758b7763922e840f2e299aea046201","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_full_sample_stage_decomposition","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se"
"KOR","EST-01","declared_staged_sns01","b_ESCS_within",27.8853755764868,2.65915644028449,211.350298890969,10,80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","1021cbf6db5ab3fdc089141e261914805d758b7763922e840f2e299aea046201","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_full_sample_stage_decomposition","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se"
"KOR","EST-01","declared_staged_sns01","b_ESCS_between",81.995350206637,5.57387892278719,68.8021882480104,10,80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","1021cbf6db5ab3fdc089141e261914805d758b7763922e840f2e299aea046201","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_full_sample_stage_decomposition","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se"
