"design_condition_id","leg","meanW","covW","mean_estimate","coverage","dMeanW"
"Q7-c2","bayes_a",0.400086342772244,0.985,0.400750626546397,0.97,-0.000664283774153229
"Q7-c2","c_direct",0.40012276385665,0.975,0.400719754543338,0.955,-0.000596990686687948
"Q7-c2","freq_per_pv",0.400073593711271,0.985,0.400749948897794,0.97,-0.00067635518652287
"Q8-c1","bayes_a",0.395565244884241,0.98,0.396137023461286,0.995,-0.000571778577045268
"Q8-c1","c_direct",0.395531408623262,0.96,0.396113355138912,0.98,-0.000581946515649523
"Q8-c1","freq_per_pv",0.395541532310411,0.98,0.396119421898095,0.995,-0.000577889587683844
"SK-c1","bayes_a",0.400349839179889,0.985,0.397409344614857,0.98,0.00294049456503176
"SK-c1","c_direct",0.400381477471137,0.98,0.3974136442846,0.97,0.00296783318653743
"SK-c1","freq_per_pv",0.400336014754714,0.985,0.397404809896965,0.985,0.00293120485774911
"SM-c1","bayes_a",0.401094510232265,0.965,0.398264929500095,0.98,0.00282958073216993
"SM-c1","c_direct",0.401110086308188,0.95,0.398345282044875,0.97,0.00276480426331255
"SM-c1","freq_per_pv",0.401086017052424,0.965,0.398265341634181,0.985,0.00282067541824282
"SM-c2","bayes_a",0.398475632798079,0.985,0.398567728639057,0.96,-9.20958409782457e-05
"SM-c2","c_direct",0.398491185675462,0.97,0.3985741628784,0.945,-8.29772029374842e-05
"SM-c2","freq_per_pv",0.39847541545472,0.985,0.39857142608557,0.96,-9.60106308497966e-05
"T1-c1","bayes_a",0.400044592653239,0.985,0.399922041915836,0.984886649874055,0.000122550737402749
"T1-c1","c_direct",0.400080827770325,0.9725,0.399954500834056,0.9725,0.000126326936269072
"T1-c1","freq_per_pv",0.400041367627766,0.985,0.399874836267251,0.9825,0.00016653136051531
"T1-c6","bayes_a",0.399975151934957,0.98,0.398332400513792,0.97,0.00164275142116549
"T1-c6","c_direct",0.399984398211225,0.96,0.3983330167852,0.97,0.00165138142602506
"T1-c6","freq_per_pv",0.399974775634129,0.98,0.398335250934627,0.97,0.00163952469950235
"T2-c1","bayes_a",0.399840821056575,0.98,0.400532618604481,1,-0.000691797547905992
"T2-c1","c_direct",0.39982044000985,0.98,0.400522951740242,1,-0.000702511730392041
"T2-c1","freq_per_pv",0.399844199088429,0.98,0.400561464838063,1,-0.00071726574963421
"T2-c2","bayes_a",0.4109878971146,0.97,0.402463907766371,0.96,0.00852398934822951
"T2-c2","c_direct",0.410977624452665,0.96,0.402617635592863,0.93,0.0083599888598021
"T2-c2","freq_per_pv",0.41097831049702,0.97,0.402425741211838,0.95,0.00855256928518205
"T2-c3","bayes_a",0.400069323698797,0.96,0.397609765619005,0.99,0.00245955807979242
"T2-c3","c_direct",0.4001960395623,0.94,0.3976134592137,0.99,0.00258258034860015
"T2-c3","freq_per_pv",0.400066100139239,0.96,0.397589509855516,0.99,0.00247659028372255
"T2-c4","bayes_a",0.39997383571138,0.97,0.399894809366272,0.96,7.90263451080353e-05
"T2-c4","c_direct",0.40000841030555,0.97,0.3999271000783,0.95,8.13102272499977e-05
"T2-c4","freq_per_pv",0.399972921146255,0.97,0.399865859982001,0.96,0.000107061164254241
"T2-c5","bayes_a",0.401940634881517,0.97,0.400330855786998,0.98,0.00160977909451948
"T2-c5","c_direct",0.402017257885725,0.94,0.400340924307575,0.95,0.00167633357814989
"T2-c5","freq_per_pv",0.401946559121839,0.97,0.400344302803466,0.98,0.00160225631837346
"T2-c6","bayes_a",0.400022558033097,0.99,0.399675346803803,0.98,0.000347211229294486
"T2-c6","c_direct",0.399989240520225,0.98,0.399681685745375,0.97,0.00030755477484995
"T2-c6","freq_per_pv",0.400007014314583,0.99,0.399677831847388,0.97,0.000329182467195044
"T2-c7","bayes_a",0.401814953568663,1,0.398854891340338,0.99,0.00296006222832451
"T2-c7","c_direct",0.401819792366975,0.99,0.398868504766725,0.98,0.0029512876002501
"T2-c7","freq_per_pv",0.401812329593045,1,0.398855024677758,0.99,0.00295730491528728
"T3-c1","bayes_a",0.39888536365982,0.98,0.397069694989475,0.94,0.00181566867034505
"T3-c1","c_direct",0.39891329831935,0.94,0.3971070597422,0.91,0.00180623857714984
"T3-c1","freq_per_pv",0.39888332973247,0.98,0.397069014057067,0.94,0.00181431567540347
"T3-c3","bayes_a",0.403216779951782,0.95,0.400085180933663,0.99,0.00313159901811944
"T3-c3","c_direct",0.40320092896565,0.94,0.400098672964525,0.98,0.00310225600112501
"T3-c3","freq_per_pv",0.403209698553833,0.95,0.400085744664431,0.99,0.00312395388940251
"T3-c4","bayes_a",0.40113658366651,0.96,0.396239290159803,0.97,0.00489729350670698
"T3-c4","c_direct",0.401193756592175,0.95,0.39630170525445,0.96,0.00489205133772497
"T3-c4","freq_per_pv",0.401144039397302,0.96,0.396252399074245,0.97,0.00489164032305717
"T4-c1","bayes_a",0.400973885226203,0.9875,0.401921129546667,0.967418546365915,-0.000947244320463669
"T4-c1","c_direct",0.40095703939315,0.98,0.401771060005075,0.955,-0.000814020611925037
"T4-c1","freq_per_pv",0.400969367323818,0.9875,0.401807735644515,0.9675,-0.000838368320697447
"T4-c3","bayes_a",0.40016923676815,0.99,0.39908663048093,0.98,0.00108260628722001
"T4-c3","c_direct",0.400180262196025,0.975,0.40090911415885,0.98,-0.000728851962824961
"T4-c3","freq_per_pv",0.400151146903588,0.99,0.400872407155388,0.985,-0.00072126025179986
"T4-c4","bayes_a",0.400992753177897,0.99,0.397797907043403,0.98,0.00319484613449389
"T4-c4","c_direct",0.400996069236538,0.98,0.398277206297988,0.99,0.0027188629385495
"T4-c4","freq_per_pv",0.401001515196093,0.99,0.398233209775149,0.995,0.00276830542094414
"T4-c5","bayes_a",0.397002603045285,0.945,0.39042583447631,0.88,0.00657676856897493
"T4-c5","c_direct",0.396998572257063,0.93,0.396959788967425,0.95,3.87832896375784e-05
"T4-c5","freq_per_pv",0.397000397233122,0.945,0.396948798849852,0.95,5.15983832696243e-05
"T4-c6","bayes_a",0.400225685351854,0.965,0.398764682590836,0.965,0.00146100276101774
"T4-c6","c_direct",0.400192065266862,0.955,0.398720474264325,0.955,0.00147159100253746
"T4-c6","freq_per_pv",0.400208685146285,0.96,0.398754789082849,0.965,0.00145389606343588
"T4-c7","bayes_a",0.400861981671174,0.945,0.401820572340423,0.92,-0.000958590669248638
"T4-c7","c_direct",0.400904082270563,0.94,0.39981976490755,0.935,0.00108431736301251
"T4-c7","freq_per_pv",0.400856289154817,0.945,0.399799121633548,0.94,0.00105716752126883
"T5-c1","bayes_a",0.397932179415502,0.97,0.404769553097443,1,-0.00683737368194054
"T5-c1","c_direct",0.397951338951825,0.96,0.404759763723625,1,-0.00680842477179994
"T5-c1","freq_per_pv",0.397946643496518,0.97,0.404760882485552,1,-0.00681423898903355
