"country","support_id","pv_index","pv_col","n_rows","n_schools","n_draws","pareto_khat","khat_threshold","psis_status","psis_ok","psis_n_eff","log_r_emitted","psis_called","log_r_hash","psis_weight_hash","q_draws_hash","proposal_rng_seed","proposal_sampler_id","q_fit_id","draw_source_id","row_support_hash","pipeline_b_numerator_source","pipeline_b_uses_replicate_weights","pipeline_b_final_replicates_allowed","pipeline_b_replicate_firewall_pass","numerator_weight_columns","forbidden_final_weight_used_as_numerator","forbidden_replicate_weight_used_as_numerator","firewall_status"
"USA","EST-01",1,"PV1READ",4342,150,1000,0.492865751235137,0.7,"psis_ok",TRUE,299.930110949482,TRUE,TRUE,"0b7ebd032798b67ad9bc1de7020013991fcf879fd865b749117927f2e873c191","0d3f0660bfb4b3dcb3dc5dc8a8a90955f4ee698c5a7a2753a9d5cab7586dc9e8","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",2,"PV2READ",4342,150,1000,0.671094735193365,0.7,"psis_ok",TRUE,207.799380655208,TRUE,TRUE,"35cc95f0cfc8b0bdc7c432bfcb4aaadba3197c9175c4b7f358462b2fb910bd16","09beaa546b24d44e5fb12515d586786d98b62383c795dd3bb2983158cc9ac178","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",3,"PV3READ",4342,150,1000,0.463070202185569,0.7,"psis_ok",TRUE,365.591111366439,TRUE,TRUE,"e01c73d753a62f97056e71d74f94abd2844191f0d5b7bb37aea095d299065e52","5c2dedd094563c8814cb33efc3806e5edbc862cd0b7d50749910104f072ebd86","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",4,"PV4READ",4342,150,1000,0.347337009477103,0.7,"psis_ok",TRUE,247.514899255916,TRUE,TRUE,"198d194235cd4eb53686910dce21290350f32b763eb8f5ff37433c410c3206a8","583ffb7142657a32c607d7da69ec59ec06e51b8c94621b78d2c2657d58754b5f","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",5,"PV5READ",4342,150,1000,0.441581249904533,0.7,"psis_ok",TRUE,183.503973802726,TRUE,TRUE,"463d77345b23256de891ce60e79646cf89a979fe25b2c72a5850015096d3b591","6d8bf36b8f5d7f58f8aefd56dd2872e8bb9de89d350d1e5f392aa0f64838e296","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",6,"PV6READ",4342,150,1000,0.386823267977996,0.7,"psis_ok",TRUE,533.612786222891,TRUE,TRUE,"6243f18e6db39bec1ade8946183c380137d95f03c63a916fd6e74e13581396ad","6bfb33035418dff904df1cd6914590fd19e2f77b34affc080f9621b2ed164a13","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",7,"PV7READ",4342,150,1000,0.441576761482394,0.7,"psis_ok",TRUE,359.486079121247,TRUE,TRUE,"f3103278812f5eabb0a7f43053409e5232cebc41ad72381409afffd0b4c55776","5e5511fc81170fdee1ba236fee457dbf56879d458348498015106caef7580bbd","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",8,"PV8READ",4342,150,1000,0.494127008885955,0.7,"psis_ok",TRUE,91.1141245676501,TRUE,TRUE,"059ef197a1e0b92c4902c5da21faefea634fee1d817132f48fc582d80f9e1cf5","f763d9450c21d98806aeced39a11751699a4cbdd2a865fcf9facdf7474501c56","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",9,"PV9READ",4342,150,1000,0.419968557053173,0.7,"psis_ok",TRUE,228.020625840834,TRUE,TRUE,"db66d217c26339a5ce8518f1d790cf2650ed805718c163dfade674b53de474b5","d3bdace3395fbe89b2de596ee3049c89042a86b4badf8029720277f5b06aad1b","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"USA","EST-01",10,"PV10READ",4342,150,1000,0.673767885537718,0.7,"psis_ok",TRUE,132.514775213812,TRUE,TRUE,"f26658a6151be53af99c01ec9c393048c7ca3fff94bb9b69050362c42da41489","3d6ba92c520f55e7b52d6e8e95e6f56193ff09fc09f2ddc26e194dcabe978bd9","67ddf8fe94032879a68cf79713ed42034952d51f4a43881ba36615dfb34f2fdd","2050501876","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_USA","pisa_pipeline_b_from_cdirect_stack_USA","b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",1,"PV1READ",6391,186,1000,0.99886478429619,0.7,"psis_unstable",FALSE,9.97684436258772,TRUE,TRUE,"968449561de2c0db7ec3b3446c74058b4ca3787d965e37ffe833b411fe5dac1c","09e483697a433d1c6ad4528b93583feff4129fff1f07ed915f27550d7e09269f","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",2,"PV2READ",6391,186,1000,0.978622744627844,0.7,"psis_unstable",FALSE,10.5177376852637,TRUE,TRUE,"b19ee424597deeecd1e445c5c046ecf0b629dd7338f8172b167bef82c701cbcd","1bf0e40a567f3be4880cf116e4f0eb597f276086ba8a3d1ae4e9896c9d449ec2","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",3,"PV3READ",6391,186,1000,0.835473562266899,0.7,"psis_unstable",FALSE,20.2862977063089,TRUE,TRUE,"460ca2fbe76e7c27fdca7f51c092acfa71a3a9382566ef1d143bd77ce2aa501d","5d8abe611230e00ef4627e6cfa3841194f6a8a39d28b135ba8569b3ab5b2c1de","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",4,"PV4READ",6391,186,1000,1.34066470885122,0.7,"psis_unstable",FALSE,5.01856639722511,TRUE,TRUE,"a24c3d0aefaa00d375de6948e86109af88f0674e20cf4a1f3e55bf74274c45aa","446d1d4104a7a6ae75b829bc273c2febaeca490008ea89a1f58e3f7e0a9bd379","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",5,"PV5READ",6391,186,1000,1.21654884179127,0.7,"psis_unstable",FALSE,12.0102865358998,TRUE,TRUE,"cd78018342a755de84a04d4584a166b2b1e255480167f32496bd9b710bc28a94","c29d0afd8ca0ce2eebae82d0bb21c0409f81d37e684bb38d30600f1f2c4a3893","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",6,"PV6READ",6391,186,1000,0.884531178971778,0.7,"psis_unstable",FALSE,20.9249332473544,TRUE,TRUE,"d132f7044e53235924669ec83dbacb1e631938efa68316f9a79e9d0a92b9df98","b8891f562494844c9b193a33657a77641d48892b02e61db29a64672456f6761a","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",7,"PV7READ",6391,186,1000,0.818868030352902,0.7,"psis_unstable",FALSE,29.6618402080893,TRUE,TRUE,"9ca458e7310a73515f59e42cec7fde9cafd006a739b4704049e89cb061bb62c8","9e5ba9dcae1a47a2f165946e567095e0a16efb60fd0aa6635d9798ced0a24c5b","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",8,"PV8READ",6391,186,1000,1.05178568837898,0.7,"psis_unstable",FALSE,28.8630044073147,TRUE,TRUE,"6e3eb2d52c4c058271b18396b89f6d63408b3b54e34fcf6225bf86b26b7b2bf3","4dd31e6046b6afe291a62fd8aa84ca695fd2472489da9a5354cee3cd2f6f491e","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",9,"PV9READ",6391,186,1000,0.965080976016138,0.7,"psis_unstable",FALSE,9.75642611489664,TRUE,TRUE,"df147263b226987c597dcfa6df2fb67b881584cb11eeeb583490a8bece67fd7d","361febc4bd9b0c4f1edb3fc04e60e0d731ca731bebcc8c7ff674a0354d909d15","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
"KOR","EST-01",10,"PV10READ",6391,186,1000,0.965827278374457,0.7,"psis_unstable",FALSE,10.5934702910534,TRUE,TRUE,"cfaea0788b29f1c047bcc98d0db5837c4e7c6486bb865fb6498b845701882d8b","0516b3362634af53e517b077affa9af6bf9b5ffd60e26fcc4c3ffe92e2059e13","c5d0cbcb5519490ee0dc2fcdbf2619d36eee41fcb2dfca429f6dc480b6beb78d","824317146","pisa_cdirect_production_cmdstanr_stack","pisa_cdirect_production_stack_KOR","pisa_pipeline_b_from_cdirect_stack_KOR","83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","sns01_staged_full_sample",FALSE,FALSE,TRUE,"w_school;w_student_cond;w_norm_sample",FALSE,FALSE,"pass"
